MType;MType2;h(kpc);re(kpc);Blg/T;M/Lbu;M/Ld;Mblg(Msun);Mdisk(Msun)
barred      ;classical   ; 2.581; 0.950; 0.355;1.9e+00;2.8e+00;1.3e+10;2.8e+10
elliptical  ;unbarred    ;      ; 1.463; 1.000;1.6e+00;       ;1.8e+10;
classical   ;unbarred    ; 2.953; 0.573; 0.305;5.0e-01;1.0e+00;3.0e+09;1.4e+10
barred      ;classical   ; 2.632; 0.892; 0.257;9.7e-01;9.3e-01;6.5e+09;1.6e+10
barred      ;pseudo-bulge; 2.037; 0.968; 0.263;1.2e+00;1.2e+00;3.5e+09;7.7e+09
elliptical  ;unbarred    ;      ; 2.984; 1.000;1.5e+00;       ;5.7e+10;
classical   ;unbarred    ; 2.053; 0.883; 0.441;5.2e+00;8.2e-01;4.1e+10;8.0e+09
barred      ;classical   ; 1.142; 0.672; 0.535;9.1e-01;1.6e+00;4.5e+09;5.3e+09
classical   ;unbarred    ; 2.121; 1.491; 0.504;2.5e+00;6.1e-01;2.5e+10;6.1e+09
barred      ;classical   ; 3.746; 1.104; 0.366;1.4e+00;2.0e+00;1.6e+10;3.3e+10
barred      ;pseudo-bulge; 2.391; 0.373; 0.013;2.7e+02;8.6e-01;7.2e+10;1.6e+10
elliptical  ;unbarred    ;      ; 2.920; 1.000;2.0e+00;       ;7.9e+10;
elliptical  ;unbarred    ;      ; 6.210; 1.000;2.3e+00;       ;1.7e+11;
classical   ;unbarred    ; 3.445; 0.974; 0.163;2.1e+00;7.2e-01;1.3e+10;2.3e+10
pseudo-bulge;unbarred    ; 2.322; 0.706; 0.055;1.1e+01;1.8e+00;6.0e+09;1.7e+10
barred      ;pseudo-bulge; 2.873; 0.856; 0.165;1.1e+01;1.0e+00;1.8e+10;7.9e+09
elliptical  ;unbarred    ;      ; 1.859; 1.000;1.8e+00;       ;3.2e+10;
elliptical  ;unbarred    ;      ; 4.050; 1.000;2.9e+00;       ;1.5e+11;
