MType;MType2;h(kpc);re(kpc);Blg/T;M/Lbu;M/Ld;Mblg(Msun);Mdisk(Msun)
barred      ;classical   ; 5.075; 0.836; 0.073;3.5e+00;9.4e-01;2.0e+10;6.1e+10
pseudo-bulge;unbarred    ; 2.585; 0.379; 0.035;1.2e+00;6.8e-01;8.5e+08;1.3e+10
barred      ;pseudo-bulge; 3.830; 0.682; 0.033;2.1e+00;1.2e+00;1.8e+09;2.9e+10
classical   ;unbarred    ; 3.748; 1.136; 0.271;4.5e+00;3.6e+00;5.3e+10;1.1e+11
classical   ;unbarred    ; 3.706; 1.386; 0.440;2.6e+00;1.7e+00;6.1e+10;5.0e+10
barred      ;classical   ; 3.446; 0.714; 0.176;2.8e+00;5.5e-01;1.2e+10;8.6e+09
pseudo-bulge;unbarred    ; 4.790; 0.681; 0.038;4.2e+00;7.8e-01;4.9e+09;2.3e+10
elliptical  ;unbarred    ;      ; 2.487; 1.000;2.3e+00;       ;4.1e+10;
barred      ;pseudo-bulge; 2.459; 0.560; 0.061;1.4e+00;5.1e-01;1.2e+09;6.3e+09
barred      ;pseudo-bulge; 2.427; 0.745; 0.138;2.1e+00;1.0e+00;4.1e+09;1.1e+10
barred      ;classical   ; 2.497; 0.932; 0.312;2.7e+00;1.8e+00;1.6e+10;1.9e+10
classical   ;unbarred    ; 3.328; 1.268; 0.351;2.5e+00;1.4e+00;3.4e+10;3.6e+10
elliptical  ;unbarred    ;      ; 2.553; 1.000;6.2e-01;       ;9.6e+09;
classical   ;unbarred    ; 1.532; 0.724; 0.510;2.1e+00;1.4e+00;1.7e+10;1.1e+10
classical   ;unbarred    ; 2.019; 0.688; 0.547;1.8e+00;1.3e+00;1.1e+10;6.3e+09
classical   ;unbarred    ; 2.520; 1.491; 0.585;2.0e+00;2.0e+00;3.7e+10;2.6e+10
pseudo-bulge;unbarred    ; 4.628; 0.667; 0.066;2.3e+00;7.5e-01;5.0e+09;2.3e+10
classical   ;unbarred    ; 2.087; 1.222; 0.571;2.1e+00;2.3e+00;2.1e+10;1.7e+10
pseudo-bulge;unbarred    ; 1.864; 0.480; 0.089;1.2e+00;5.0e-01;1.0e+09;4.4e+09
barred      ;classical   ; 3.085; 0.766; 0.335;1.8e+00;2.1e+00;1.3e+10;2.5e+10
elliptical  ;unbarred    ;      ; 3.858; 1.000;2.0e+00;       ;1.7e+11;
barred      ;classical   ; 2.380; 0.646; 0.207;1.1e+00;7.7e-01;4.6e+09;9.4e+09
classical   ;unbarred    ; 4.041; 1.311; 0.308;1.5e+00;9.3e-01;2.6e+10;3.6e+10
classical   ;unbarred    ; 4.749; 1.649; 0.483;2.4e+00;2.2e+00;6.3e+10;6.1e+10
elliptical  ;unbarred    ;      ; 2.729; 1.000;1.5e+00;       ;3.2e+10;
classical   ;unbarred    ; 2.707; 1.077; 0.153;1.1e+00;6.9e-01;5.2e+09;1.8e+10
bulgeless   ;unbarred    ; 1.445;      ; 0.000;       ;8.3e-01;       ;9.9e+09
pseudo-bulge;unbarred    ; 1.805; 0.939; 0.163;7.6e-01;6.4e-01;1.6e+09;6.8e+09
barred      ;classical   ; 2.796; 0.708; 0.258;2.1e+00;1.2e+00;1.1e+10;1.4e+10
barred      ;classical   ; 2.716; 0.721; 0.222;2.8e+00;2.4e+00;1.0e+10;2.6e+10
elliptical  ;unbarred    ;      ; 2.150; 1.000;1.5e+00;       ;2.4e+10;
pseudo-bulge;unbarred    ; 4.408; 0.747; 0.054;2.3e+00;7.7e-01;4.0e+09;2.3e+10
elliptical  ;unbarred    ;      ; 2.453; 1.000;1.5e+00;       ;3.7e+10;
classical   ;unbarred    ; 4.519; 1.040; 0.127;2.1e+00;9.3e-01;9.2e+09;2.8e+10
elliptical  ;unbarred    ;      ; 2.866; 1.000;9.7e-01;       ;2.7e+10;
classical   ;unbarred    ; 2.636; 1.101; 0.531;1.4e+00;2.8e+00;1.0e+10;1.8e+10
classical   ;unbarred    ; 1.828; 1.034; 0.525;3.8e-01;2.5e+00;3.9e+09;2.3e+10
pseudo-bulge;unbarred    ; 2.926; 1.126; 0.156;2.6e+00;1.2e+00;9.6e+09;2.4e+10
barred      ;classical   ; 2.686; 0.777; 0.206;2.2e+00;1.5e+00;8.3e+09;1.9e+10
elliptical  ;unbarred    ;      ; 3.175; 1.000;1.8e+00;       ;5.1e+10;
classical   ;unbarred    ; 3.125; 1.242; 0.312;1.7e+00;1.9e+00;2.3e+10;5.4e+10
elliptical  ;unbarred    ;      ; 3.836; 1.000;1.7e+00;       ;9.8e+10;
barred      ;classical   ; 3.873; 1.057; 0.165;7.7e-01;8.9e-01;6.2e+09;3.5e+10
pseudo-bulge;unbarred    ; 5.926; 0.982; 0.068;1.4e+00;9.8e-01;3.2e+09;3.2e+10
barred      ;classical   ; 4.149; 1.074; 0.192;1.6e+00;1.5e+00;1.2e+10;3.9e+10
classical   ;unbarred    ; 6.117; 1.714; 0.350;2.3e+00;2.0e+00;7.3e+10;1.2e+11
classical   ;unbarred    ; 3.856; 1.196; 0.557;1.9e+00;1.5e+00;2.3e+10;1.5e+10
classical   ;unbarred    ; 2.033; 1.048; 0.398;1.2e+00;1.7e+00;1.0e+10;2.1e+10
barred      ;pseudo-bulge; 1.889; 0.412; 0.093;4.1e-01;1.2e+00;4.0e+08;9.9e+09
elliptical  ;unbarred    ;      ; 2.054; 1.000;1.6e+00;       ;3.0e+10;
classical   ;unbarred    ; 2.376; 1.514; 0.425;1.6e+00;1.3e+00;2.5e+10;2.7e+10
barred      ;classical   ; 2.357; 0.573; 0.146;1.5e+00;1.6e+00;5.0e+09;2.8e+10
classical   ;unbarred    ; 3.293; 1.149; 0.567;1.6e+00;1.1e+00;1.8e+10;9.3e+09
elliptical  ;unbarred    ;      ; 2.257; 1.000;1.4e+00;       ;2.6e+10;
barred      ;classical   ; 2.381; 0.616; 0.525;1.2e+00;1.9e+00;1.2e+10;1.6e+10
pseudo-bulge;unbarred    ; 1.833; 0.769; 0.079;1.3e+00;9.1e-01;1.0e+09;8.4e+09
classical   ;unbarred    ; 2.154; 0.865; 0.373;1.9e+00;1.8e+00;1.2e+10;2.0e+10
classical   ;unbarred    ; 3.929; 1.351; 0.346;2.5e+00;2.3e+00;3.7e+10;6.4e+10
elliptical  ;unbarred    ;      ; 1.989; 1.000;1.5e+00;       ;3.1e+10;
elliptical  ;unbarred    ;      ; 2.257; 1.000;1.2e+00;       ;1.3e+10;
pseudo-bulge;unbarred    ; 3.057; 0.727; 0.065;1.4e+00;7.2e-01;2.0e+09;1.5e+10
barred      ;classical   ; 4.553; 0.846; 0.178;1.8e+00;1.8e+00;1.0e+10;4.2e+10
classical   ;unbarred    ; 1.632; 0.506; 0.178;2.5e+00;2.3e+00;4.3e+09;1.8e+10
barred      ;classical   ; 1.822; 0.413; 0.287;2.6e+00;1.6e+00;8.0e+09;1.1e+10
barred      ;classical   ; 2.618; 0.404; 0.082;1.3e+00;9.8e-01;1.7e+09;1.3e+10
classical   ;unbarred    ; 1.862; 1.442; 0.675;6.0e-01;9.8e-01;1.2e+10;9.3e+09
barred      ;pseudo-bulge; 3.170; 0.728; 0.088;2.1e+00;1.4e+00;3.4e+09;2.2e+10
classical   ;unbarred    ; 3.968; 1.412; 0.736;2.6e+00;1.5e+00;5.0e+10;1.1e+10
pseudo-bulge;unbarred    ; 5.561; 0.813; 0.053;4.9e+00;1.1e+00;1.3e+10;5.2e+10
classical   ;unbarred    ; 1.696; 1.292; 0.700;1.6e+00;1.1e+00;2.7e+10;8.1e+09
elliptical  ;unbarred    ;      ; 2.389; 1.000;1.6e+00;       ;3.9e+10;
elliptical  ;unbarred    ;      ; 2.266; 1.000;1.5e+00;       ;1.8e+10;
barred      ;classical   ; 3.026; 1.201; 0.355;2.0e+00;1.7e+00;1.6e+10;2.1e+10
elliptical  ;unbarred    ;      ; 3.215; 1.000;2.0e+00;       ;5.6e+10;
barred      ;classical   ; 4.545; 0.921; 0.096;1.1e+00;1.1e+00;4.6e+09;3.8e+10
classical   ;unbarred    ; 1.790; 0.980; 0.522;1.7e+00;1.3e+00;1.3e+10;9.2e+09
elliptical  ;unbarred    ;      ; 3.415; 1.000;2.0e+00;       ;8.1e+10;
classical   ;unbarred    ; 2.105; 1.162; 0.544;2.6e+00;1.6e+00;2.3e+10;1.1e+10
elliptical  ;unbarred    ;      ; 2.825; 1.000;1.5e+00;       ;4.6e+10;
elliptical  ;unbarred    ;      ; 3.123; 1.000;1.7e+00;       ;5.9e+10;
classical   ;unbarred    ; 3.396; 1.495; 0.359;3.2e+00;2.2e+00;4.8e+10;5.9e+10
elliptical  ;unbarred    ;      ; 4.167; 1.000;1.9e+00;       ;8.3e+10;
barred      ;classical   ; 3.477; 0.731; 0.172;1.4e+00;1.6e+00;5.4e+09;2.7e+10
elliptical  ;unbarred    ;      ; 3.070; 1.000;1.5e+00;       ;3.5e+10;
barred      ;classical   ; 2.999; 0.921; 0.194;1.9e+00;1.4e+00;1.4e+10;3.3e+10
barred      ;classical   ; 3.735; 0.657; 0.087;1.2e+00;7.1e-01;2.9e+09;1.8e+10
elliptical  ;unbarred    ;      ; 3.148; 1.000;2.0e+00;       ;4.7e+10;
elliptical  ;unbarred    ;      ; 3.938; 1.000;2.5e+00;       ;1.1e+11;
elliptical  ;unbarred    ;      ; 4.177; 1.000;2.1e+00;       ;1.0e+11;
elliptical  ;unbarred    ;      ; 3.207; 1.000;1.5e+00;       ;4.1e+10;
barred      ;classical   ; 3.360; 0.757; 0.265;1.8e+00;1.6e+00;1.2e+10;2.6e+10
elliptical  ;unbarred    ;      ; 2.654; 1.000;1.9e+00;       ;4.8e+10;
elliptical  ;unbarred    ;      ; 3.414; 1.000;1.7e+00;       ;5.9e+10;
elliptical  ;unbarred    ;      ; 3.461; 1.000;2.2e+00;       ;6.0e+10;
pseudo-bulge;unbarred    ; 2.744; 0.905; 0.100;2.2e+00;5.5e-01;5.9e+09;1.3e+10
classical   ;unbarred    ; 2.978; 1.218; 0.227;6.7e-01;9.3e-01;7.3e+09;3.5e+10
barred      ;classical   ; 4.073; 0.722; 0.118;2.3e+00;9.0e-01;1.2e+10;3.2e+10
classical   ;unbarred    ; 2.329; 1.267; 0.503;1.5e+00;1.7e+00;2.0e+10;2.2e+10
bulgeless   ;unbarred    ; 1.341;      ; 0.000;       ;5.3e-01;       ;4.6e+09
elliptical  ;unbarred    ;      ; 3.458; 1.000;1.6e+00;       ;6.0e+10;
pseudo-bulge;unbarred    ; 2.569; 0.821; 0.045;1.2e+00;6.8e-01;7.7e+08;9.3e+09
classical   ;unbarred    ; 2.566; 0.949; 0.267;3.6e+00;1.3e+00;2.7e+10;2.7e+10
classical   ;unbarred    ; 3.352; 1.027; 0.215;2.7e+00;2.0e+00;2.4e+10;6.5e+10
barred      ;classical   ; 5.848; 0.865; 0.161;2.1e+00;1.7e+00;1.5e+10;5.1e+10
classical   ;unbarred    ; 2.838; 1.869; 0.613;2.5e+00;1.9e+00;5.2e+10;2.5e+10
barred      ;classical   ; 3.074; 1.292; 0.367;3.4e+00;1.7e+00;4.0e+10;3.1e+10
classical   ;unbarred    ; 2.247; 1.141; 0.446;1.8e+00;2.9e+00;1.8e+10;3.6e+10
elliptical  ;unbarred    ;      ; 3.790; 1.000;2.0e+00;       ;1.2e+11;
classical   ;unbarred    ; 1.672; 0.736; 0.634;3.2e+00;8.0e-01;2.4e+10;3.5e+09
pseudo-bulge;unbarred    ; 1.390; 1.010; 0.311;1.3e+00;1.0e+00;5.1e+09;8.9e+09
barred      ;classical   ; 2.468; 0.939; 0.290;1.7e+00;9.8e-01;1.4e+10;1.2e+10
classical   ;unbarred    ; 2.607; 1.241; 0.613;1.2e+00;3.3e+00;1.9e+10;3.4e+10
elliptical  ;unbarred    ;      ; 2.800; 1.000;1.8e+00;       ;4.2e+10;
barred      ;classical   ; 3.381; 0.894; 0.303;3.9e+00;1.2e+00;3.8e+10;2.2e+10
elliptical  ;unbarred    ;      ; 2.628; 1.000;1.7e+00;       ;3.5e+10;
elliptical  ;unbarred    ;      ; 2.950; 1.000;1.6e+00;       ;4.6e+10;
barred      ;classical   ; 4.482; 0.662; 0.387;1.1e+00;6.3e-01;8.5e+09;6.7e+09
pseudo-bulge;unbarred    ; 3.267; 0.405; 0.034;1.9e+00;9.1e-01;1.5e+09;2.0e+10
classical   ;unbarred    ; 2.323; 0.713; 0.227;3.2e+00;1.1e+00;1.6e+10;1.8e+10
barred      ;classical   ; 2.778; 0.799; 0.475;2.2e+00;1.9e+00;2.5e+10;2.3e+10
barred      ;classical   ; 2.237; 0.630; 0.215;2.1e+00;1.5e+00;8.5e+09;2.0e+10
pseudo-bulge;unbarred    ; 2.366; 0.710; 0.057;2.8e+00;9.3e-01;2.0e+09;1.1e+10
classical   ;unbarred    ; 1.431; 0.527; 0.353;2.1e+00;1.5e+00;5.7e+09;7.6e+09
elliptical  ;unbarred    ;      ; 4.127; 1.000;2.3e+00;       ;1.1e+11;
barred      ;classical   ; 2.094; 0.507; 0.210;1.8e+00;1.2e+00;6.2e+09;1.5e+10
pseudo-bulge;unbarred    ; 3.366; 0.880; 0.086;3.4e+00;1.2e+00;1.1e+10;3.9e+10
classical   ;unbarred    ; 1.785; 0.927; 0.362;4.7e+00;2.3e+00;3.6e+10;3.1e+10
pseudo-bulge;unbarred    ; 2.606; 0.547; 0.084;2.2e+00;1.3e+00;2.0e+09;1.4e+10
elliptical  ;unbarred    ;      ; 4.225; 1.000;1.6e+00;       ;5.2e+10;
elliptical  ;unbarred    ;      ; 3.263; 1.000;2.0e+00;       ;7.4e+10;
barred      ;classical   ; 2.515; 0.520; 0.138;3.3e+00;1.5e+00;7.5e+09;2.0e+10
elliptical  ;unbarred    ;      ; 3.784; 1.000;2.2e+00;       ;6.9e+10;
barred      ;classical   ; 2.821; 0.668; 0.165;2.3e+00;2.1e+00;8.8e+09;3.5e+10
classical   ;unbarred    ; 2.552; 0.994; 0.415;3.2e+00;1.3e+00;2.2e+10;1.3e+10
elliptical  ;unbarred    ;      ; 2.333; 1.000;1.3e+00;       ;1.1e+10;
barred      ;pseudo-bulge; 3.614; 0.693; 0.098;3.2e+00;1.2e+00;7.1e+09;2.3e+10
classical   ;unbarred    ; 2.602; 1.061; 0.320;2.3e+00;2.1e+00;2.1e+10;4.2e+10
classical   ;unbarred    ; 2.382; 1.030; 0.437;2.1e+00;2.3e+00;2.2e+10;3.1e+10
classical   ;unbarred    ; 2.488; 0.835; 0.391;1.8e+00;2.0e+00;1.1e+10;1.8e+10
classical   ;unbarred    ; 3.021; 0.715; 0.172;3.0e+00;1.2e+00;1.5e+10;2.8e+10
elliptical  ;unbarred    ;      ; 4.120; 1.000;2.9e+00;       ;2.0e+11;
barred      ;classical   ; 3.856; 0.906; 0.422;2.6e+00;1.4e+00;3.4e+10;1.9e+10
classical   ;unbarred    ; 1.757; 0.719; 0.230;1.6e+00;1.6e+00;6.5e+09;2.2e+10
pseudo-bulge;unbarred    ; 2.804; 0.323; 0.026;6.1e-01;6.4e-01;2.4e+08;9.5e+09
pseudo-bulge;unbarred    ; 4.161; 0.929; 0.082;1.8e+00;6.6e-01;4.4e+09;1.8e+10
barred      ;classical   ; 3.918; 1.271; 0.276;4.9e+00;2.0e+00;4.1e+10;3.6e+10
barred      ;pseudo-bulge; 3.675; 0.388; 0.024;1.5e+00;7.5e-01;5.5e+08;1.1e+10
bulgeless   ;unbarred    ; 1.514;      ; 0.000;       ;4.4e-01;       ;5.2e+09
classical   ;unbarred    ; 5.979; 1.315; 0.239;1.9e+00;1.7e+00;2.7e+10;8.1e+10
elliptical  ;unbarred    ;      ; 3.467; 1.000;1.6e+00;       ;8.6e+10;
barred      ;pseudo-bulge; 2.641; 0.569; 0.093;3.3e+00;8.0e-01;4.9e+09;1.1e+10
barred      ;classical   ; 3.154; 1.004; 0.320;1.0e+00;1.0e+00;7.6e+09;1.3e+10
classical   ;unbarred    ; 3.013; 1.588; 0.466;2.0e+00;1.9e+00;3.2e+10;3.4e+10
barred      ;classical   ; 6.343; 0.781; 0.100;2.4e+00;1.2e+00;1.4e+10;6.0e+10
barred      ;classical   ; 3.754; 1.283; 0.382;2.0e+00;1.7e+00;2.5e+10;2.7e+10
pseudo-bulge;unbarred    ; 3.066; 0.671; 0.094;1.0e+00;8.1e-01;2.3e+09;1.8e+10
elliptical  ;unbarred    ;      ; 2.480; 1.000;2.1e+00;       ;5.8e+10;
barred      ;classical   ; 3.410; 0.838; 0.212;3.2e+00;1.2e+00;2.1e+10;2.5e+10
elliptical  ;unbarred    ;      ; 4.842; 1.000;2.1e+00;       ;1.4e+11;
barred      ;pseudo-bulge; 3.049; 0.598; 0.082;1.8e+00;5.4e-01;2.1e+09;6.7e+09
elliptical  ;unbarred    ;      ; 3.039; 1.000;1.6e+00;       ;5.9e+10;
classical   ;unbarred    ; 2.186; 0.970; 0.647;2.4e+00;1.3e+00;2.6e+10;7.7e+09
barred      ;pseudo-bulge; 1.468; 0.260; 0.051;4.2e-01;6.3e-01;2.1e+08;5.3e+09
barred      ;classical   ; 2.562; 0.548; 0.189;1.6e+00;9.4e-01;5.7e+09;1.1e+10
classical   ;unbarred    ; 2.099; 0.735; 0.204;1.0e+00;7.0e-01;5.9e+09;1.6e+10
barred      ;classical   ; 3.974; 0.647; 0.149;1.4e+00;1.2e+00;5.9e+09;2.4e+10
barred      ;classical   ; 3.914; 0.927; 0.101;1.7e+00;9.9e-01;6.6e+09;3.2e+10
elliptical  ;unbarred    ;      ; 4.237; 1.000;1.7e+00;       ;8.5e+10;
barred      ;classical   ; 3.080; 1.325; 0.636;2.0e+00;1.1e+00;6.2e+10;1.2e+10
classical   ;unbarred    ; 1.795; 0.551; 0.131;4.0e-01;1.1e+00;8.7e+08;1.5e+10
elliptical  ;unbarred    ;      ; 3.412; 1.000;1.7e+00;       ;4.2e+10;
pseudo-bulge;unbarred    ; 2.904; 0.536; 0.057;2.1e+00;1.1e+00;2.8e+09;2.4e+10
elliptical  ;unbarred    ;      ; 5.376; 1.000;1.7e+00;       ;1.1e+11;
barred      ;pseudo-bulge; 3.607; 0.429; 0.027;5.8e+00;1.4e+00;2.1e+09;1.6e+10
elliptical  ;unbarred    ;      ; 3.831; 1.000;2.1e+00;       ;8.5e+10;
classical   ;unbarred    ; 2.130; 1.266; 0.667;1.6e+00;2.1e+00;1.8e+10;1.2e+10
elliptical  ;unbarred    ;      ; 2.931; 1.000;1.8e+00;       ;3.7e+10;
classical   ;unbarred    ; 2.387; 0.845; 0.329;9.8e-01;1.5e+00;5.4e+09;1.7e+10
classical   ;unbarred    ; 3.608; 1.214; 0.182;1.4e+00;1.0e+00;9.3e+09;3.2e+10
elliptical  ;unbarred    ;      ; 5.500; 1.000;2.0e+00;       ;1.9e+11;
pseudo-bulge;unbarred    ; 4.384; 0.980; 0.111;1.4e+00;6.4e-01;3.8e+09;1.4e+10
classical   ;unbarred    ; 3.520; 1.561; 0.507;2.6e+00;1.8e+00;5.0e+10;3.3e+10
elliptical  ;unbarred    ;      ; 3.874; 1.000;1.5e+00;       ;7.0e+10;
barred      ;pseudo-bulge; 2.267; 0.482; 0.084;1.2e+00;7.7e-01;1.6e+09;1.0e+10
barred      ;classical   ; 2.828; 0.537; 0.240;1.9e+00;4.6e-01;7.9e+09;5.4e+09
pseudo-bulge;unbarred    ; 3.630; 0.461; 0.051;3.3e+00;7.4e-01;4.5e+09;1.9e+10
elliptical  ;unbarred    ;      ; 3.221; 1.000;1.2e+00;       ;2.3e+10;
barred      ;classical   ; 2.315; 0.843; 0.450;1.6e+00;1.8e+00;1.2e+10;1.3e+10
elliptical  ;unbarred    ;      ; 3.250; 1.000;1.4e+00;       ;4.2e+10;
elliptical  ;unbarred    ;      ; 3.690; 1.000;1.6e+00;       ;5.1e+10;
barred      ;pseudo-bulge; 1.775; 0.431; 0.080;5.9e+00;1.1e+00;4.4e+09;8.2e+09
barred      ;bulgeless   ; 2.296;      ; 0.000;       ;6.1e-01;       ;1.2e+10
pseudo-bulge;unbarred    ; 5.467; 0.549; 0.030;1.2e+00;8.2e-01;8.3e+08;1.9e+10
barred      ;classical   ; 2.425; 0.738; 0.276;1.4e+00;1.7e+00;7.3e+09;1.9e+10
barred      ;classical   ; 2.342; 0.896; 0.360;1.9e+00;1.0e+00;1.5e+10;1.3e+10
elliptical  ;unbarred    ;      ; 4.203; 1.000;1.1e+00;       ;5.5e+10;
barred      ;classical   ; 1.955; 0.757; 0.325;1.6e+00;1.0e+00;1.2e+10;1.3e+10
bulgeless   ;unbarred    ; 3.939;      ; 0.000;       ;6.8e-01;       ;8.7e+09
elliptical  ;unbarred    ;      ; 4.027; 1.000;1.9e+00;       ;6.5e+10;
elliptical  ;unbarred    ;      ; 3.853; 1.000;1.8e+00;       ;8.3e+10;
elliptical  ;unbarred    ;      ; 4.943; 1.000;1.6e+00;       ;9.6e+10;
elliptical  ;unbarred    ;      ; 4.946; 1.000;2.0e+00;       ;1.3e+11;
classical   ;unbarred    ; 1.985; 1.138; 0.395;4.8e-01;7.1e-01;3.0e+09;6.8e+09
bulgeless   ;unbarred    ; 1.095;      ; 0.000;       ;7.0e-01;       ;9.1e+09
classical   ;unbarred    ; 2.325; 1.218; 0.566;1.4e+00;1.9e+00;1.8e+10;2.0e+10
barred      ;classical   ; 6.294; 0.905; 0.210;1.5e+00;1.7e+00;1.1e+10;3.8e+10
classical   ;unbarred    ; 1.432; 0.852; 0.423;5.7e-01;7.4e-01;3.7e+09;6.5e+09
elliptical  ;unbarred    ;      ; 3.141; 1.000;1.9e+00;       ;5.4e+10;
classical   ;unbarred    ; 0.754; 0.426; 0.563;1.2e+00;2.6e+00;5.0e+09;8.8e+09
barred      ;classical   ; 3.808; 0.838; 0.232;2.8e+00;7.1e-01;2.0e+10;1.5e+10
pseudo-bulge;unbarred    ; 2.944; 0.565; 0.066;7.3e-01;4.5e-01;5.3e+08;4.6e+09
elliptical  ;unbarred    ;      ; 2.749; 1.000;1.5e+00;       ;4.1e+10;
barred      ;classical   ; 2.677; 0.408; 0.093;8.3e-01;1.1e+00;1.4e+09;1.7e+10
barred      ;classical   ; 2.064; 0.732; 0.409;2.0e+00;1.4e+00;1.8e+10;1.5e+10
barred      ;classical   ; 1.530; 0.681; 0.436;2.7e+00;1.3e+00;1.4e+10;6.8e+09
barred      ;classical   ; 2.045; 0.400; 0.151;9.7e-01;1.0e+00;1.5e+09;8.1e+09
elliptical  ;unbarred    ;      ; 2.126; 1.000;1.4e+00;       ;1.4e+10;
pseudo-bulge;unbarred    ; 2.658; 0.572; 0.072;4.6e+00;6.3e-01;5.3e+09;9.4e+09
pseudo-bulge;unbarred    ; 2.937; 0.442; 0.045;7.4e-01;6.1e-01;5.6e+08;9.8e+09
classical   ;unbarred    ; 0.915; 0.600; 0.579;1.3e+00;1.8e+00;7.1e+09;6.9e+09
elliptical  ;unbarred    ;      ; 2.207; 1.000;1.5e+00;       ;1.8e+10;
elliptical  ;unbarred    ;      ; 2.962; 1.000;1.8e+00;       ;4.2e+10;
classical   ;unbarred    ; 5.179; 1.825; 0.414;3.2e+00;2.2e+00;1.0e+11;9.6e+10
classical   ;unbarred    ; 5.221; 1.429; 0.195;4.7e+00;2.1e+00;7.3e+10;1.4e+11
elliptical  ;unbarred    ;      ; 7.334; 1.000;3.2e+00;       ;1.7e+11;
elliptical  ;unbarred    ;      ; 4.581; 1.000;1.8e+00;       ;1.2e+11;
elliptical  ;unbarred    ;      ; 3.008; 1.000;1.7e+00;       ;4.7e+10;
classical   ;unbarred    ; 2.136; 1.093; 0.433;1.4e+00;1.7e+00;1.3e+10;2.2e+10
elliptical  ;unbarred    ;      ; 2.797; 1.000;1.5e+00;       ;2.7e+10;
barred      ;pseudo-bulge; 3.245; 0.800; 0.157;1.5e+00;1.4e+00;4.3e+09;1.9e+10
classical   ;unbarred    ; 3.522; 1.709; 0.563;2.3e+00;1.3e+00;4.7e+10;2.1e+10
barred      ;classical   ; 1.910; 0.756; 0.418;1.4e+00;2.1e+00;8.6e+09;1.5e+10
barred      ;classical   ; 1.505; 0.540; 0.377;1.9e+00;1.4e+00;8.9e+09;8.2e+09
pseudo-bulge;unbarred    ; 3.133; 1.023; 0.121;2.5e+00;7.8e-01;8.2e+09;1.9e+10
classical   ;unbarred    ; 4.056; 0.773; 0.122;1.8e+00;6.6e-01;7.1e+09;1.8e+10
pseudo-bulge;unbarred    ; 3.676; 0.390; 0.028;1.6e+00;6.9e-01;5.7e+08;8.5e+09
barred      ;pseudo-bulge; 2.014; 0.600; 0.068;1.3e+00;1.1e+00;1.5e+09;1.3e+10
classical   ;unbarred    ; 2.370; 1.123; 0.468;2.7e+00;1.5e+00;2.5e+10;1.6e+10
barred      ;pseudo-bulge; 2.486; 0.426; 0.081;1.5e+00;1.3e+00;1.7e+09;1.5e+10
barred      ;classical   ; 3.536; 0.864; 0.115;2.5e+00;7.0e-01;1.0e+10;2.0e+10
elliptical  ;unbarred    ;      ; 2.085; 1.000;1.2e+00;       ;1.6e+10;
elliptical  ;unbarred    ;      ; 2.053; 1.000;1.6e+00;       ;3.0e+10;
elliptical  ;unbarred    ;      ; 4.065; 1.000;2.2e+00;       ;7.6e+10;
elliptical  ;unbarred    ;      ; 2.719; 1.000;1.3e+00;       ;2.9e+10;
barred      ;classical   ; 2.838; 0.706; 0.261;9.0e-01;8.4e-01;6.3e+09;1.0e+10
bulgeless   ;unbarred    ; 1.631;      ; 0.000;       ;9.8e-01;       ;1.5e+10
elliptical  ;unbarred    ;      ; 3.236; 1.000;1.4e+00;       ;3.9e+10;
pseudo-bulge;unbarred    ; 4.068; 0.485; 0.018;7.3e-01;7.3e-01;1.7e+08;9.2e+09
elliptical  ;unbarred    ;      ; 2.136; 1.000;1.5e+00;       ;2.2e+10;
classical   ;unbarred    ; 2.591; 0.994; 0.616;1.8e+00;1.6e+00;2.6e+10;1.5e+10
classical   ;unbarred    ; 1.830; 0.855; 0.515;1.7e+00;2.2e+00;1.5e+10;1.8e+10
classical   ;unbarred    ; 1.517; 0.949; 0.277;4.0e-01;7.4e-01;1.8e+09;8.8e+09
classical   ;unbarred    ; 1.620; 1.010; 0.395;1.5e+00;7.5e-01;1.7e+10;1.2e+10
barred      ;classical   ; 4.447; 0.792; 0.150;1.7e+00;9.1e-01;1.2e+10;3.3e+10
classical   ;unbarred    ; 2.981; 1.382; 0.569;1.9e+00;1.5e+00;3.5e+10;2.0e+10
barred      ;classical   ; 2.861; 0.621; 0.240;1.0e+00;8.3e-01;5.1e+09;1.0e+10
elliptical  ;unbarred    ;      ; 1.904; 1.000;1.3e+00;       ;2.1e+10;
classical   ;unbarred    ; 2.770; 1.557; 0.580;2.2e+00;1.1e+00;4.7e+10;1.7e+10
pseudo-bulge;unbarred    ; 3.602; 0.668; 0.051;4.8e+00;8.5e-01;6.4e+09;2.1e+10
barred      ;classical   ; 4.995; 0.664; 0.143;1.1e+00;1.1e+00;5.2e+09;2.6e+10
classical   ;unbarred    ; 2.174; 1.195; 0.363;2.1e+00;1.5e+00;2.6e+10;3.3e+10
elliptical  ;unbarred    ;      ; 3.316; 1.000;2.0e+00;       ;6.7e+10;
elliptical  ;unbarred    ;      ; 2.749; 1.000;1.6e+00;       ;3.8e+10;
barred      ;pseudo-bulge; 2.995; 0.507; 0.058;8.0e-01;6.1e-01;8.2e+08;9.8e+09
barred      ;classical   ; 2.703; 0.705; 0.314;2.3e+00;1.8e+00;1.2e+10;1.8e+10
pseudo-bulge;unbarred    ; 2.130; 0.688; 0.138;3.3e-01;6.1e-01;6.8e+08;7.9e+09
classical   ;unbarred    ; 3.056; 0.784; 0.135;1.9e+00;4.5e-01;9.0e+09;1.4e+10
