h(kpc) re(kpc) B/T   Mb(Msun) Md(Msun)
0      3.371  1.000 8.5e+10 0
0      3.749  1.000 1.1e+11 0
1.762  0.912  0.388 3.0e+09 6.0e+09
1.949  1.046  0.609 2.5e+10 5.7e+09
1.342  0.820  0.494 7.7e+09 9.0e+09
2.463  1.309  0.533 3.2e+10 4.8e+10
0      2.845  1.000 7.5e+10 0
2.572  1.815  0.627 3.8e+10 6.0e+10
4.303  1.113  0.135 6.2e+09 3.7e+10
3.029  0.800  0.087 1.7e+10 1.1e+10
3.234  0.923  0.075 3.8e+09 3.2e+10
2.403  0.792  0.100 3.3e+09 8.9e+09
3.599  2.148  0.742 1.9e+10 8.1e+09
0      3.932  1.000 1.4e+11 0
1.895  1.089  0.387 3.3e+09 6.0e+09
0      2.614  1.000 6.5e+10 0
2.349  0.766  0.113 1.2e+09 5.5e+09
3.176  1.216  0.240 8.6e+09 1.3e+10
2.031  0.899  0.147 1.3e+09 7.4e+09
2.457  0.663  0.123 5.3e+09 1.2e+10
2.266  1.062  0.311 1.2e+10 1.7e+10
2.693  0.585  0.126 6.9e+09 1.3e+10
2.925  1.038  0.437 5.3e+10 5.1e+10
0      3.747  1.000 1.1e+11 0
1.784  0.892  0.413 6.5e+09 1.4e+10
0      1.678  1.000 2.4e+10 0
3.332  0.770  0.066 5.6e+09 5.4e+10
6.260  1.224  0.135 2.2e+10 1.1e+11
1.677  0.632  0.171 1.5e+09 8.3e+09
5.254  0.776  0.172 1.0e+10 1.6e+10
3.278  0.641  0.089 1.4e+09 7.7e+09
6.194  0.839  0.207 1.4e+10 2.3e+10
0      2.254  1.000 7.2e+10 0
3.658  0.655  0.135 9.1e+09 3.0e+10
1.352  0.715  0.460 2.8e+09 8.4e+09
0      4.009  1.000 6.1e+10 0
0      4.742  1.000 1.3e+11 0
3.424  0.626  0.065 1.1e+09 2.3e+10
2.402  1.109  0.403 3.1e+10 4.8e+09
0      1.933  1.000 3.9e+10 0
2.938  0.793  0.182 1.2e+10 5.1e+10
2.350  1.113  0.423 9.0e+09 4.7e+10
2.027  0.832  0.181 5.1e+09 1.6e+10
3.061  1.076  0.427 4.7e+10 2.2e+10
2.901  1.815  0.697 8.0e+10 5.1e+10
1.922  1.075  0.467 1.6e+10 2.0e+10
0      2.906  1.000 6.1e+10 0
1.492  0.339  0.036 5.2e+07 5.9e+09
1.342  0.777  0.198 2.2e+09 1.0e+10
2.299  0.914  0.075 2.7e+09 1.4e+10
1.492  0.671  0.077 4.2e+09 7.8e+09
0      1.633  1.000 3.1e+10 0
0      2.542  1.000 2.8e+10 0
0      2.880  1.000 4.2e+10 0
0      2.325  1.000 2.2e+10 0
2.066  1.419  0.659 1.6e+10 2.1e+10
1.571  2.377  0.809 4.8e+10 4.0e+09
3.532  1.181  0.142 2.1e+10 3.1e+10
0      3.800  1.000 7.8e+10 0
0      3.520  1.000 5.1e+10 0
0      4.733  1.000 1.1e+11 0
3.514  0.639  0.059 5.3e+09 3.9e+10
3.854  1.956  0.643 1.2e+11 2.6e+10
0      3.383  1.000 7.8e+10 0
0      4.985  1.000 1.3e+11 0
0      2.955  1.000 3.1e+10 0
0      2.679  1.000 3.5e+10 0
0      2.946  1.000 6.0e+10 0
2.627  0.624  0.056 4.6e+08 2.2e+10
2.250  0.528  0.083 3.7e+08 1.0e+10
2.617  0.843  0.348 3.3e+09 9.4e+09
1.431  0.357  0.223 1.5e+09 7.3e+09
0      3.183  1.000 4.2e+10 0
0      2.772  1.000 6.7e+10 0
0      2.058  1.000 3.3e+10 0
2.776  1.142  0.320 1.3e+10 4.9e+10
0      3.522  1.000 5.2e+10 0
2.062  1.155  0.354 6.6e+10 8.6e+09
0      5.043  1.000 1.3e+11 0
3.633  0.413  0.029 6.5e+08 1.4e+10
3.538  0.803  0.017 6.3e+09 1.8e+10
2.345  0.829  0.193 4.5e+09 1.1e+10
2.779  0.621  0.077 5.5e+09 1.0e+10
4.358  1.080  0.237 1.4e+10 2.4e+10
2.997  1.114  0.478 3.2e+10 3.3e+10
3.782  0.804  0.328 1.2e+10 3.4e+10
3.913  0.458  0.023 1.8e+10 2.4e+10
4.189  1.007  0.441 3.8e+10 3.7e+10
5.410  0.998  0.088 3.0e+09 2.0e+10
4.687  0.674  0.073 2.8e+09 2.2e+10
3.507  1.201  0.530 4.0e+10 3.6e+10
5.353  1.694  0.522 4.2e+10 1.9e+10
4.379  0.715  0.079 7.7e+09 5.5e+10
3.776  0.789  0.117 8.0e+09 1.2e+10
2.572  1.131  0.558 1.8e+10 2.2e+10
3.898  0.932  0.092 4.7e+09 3.0e+10
2.530  0.766  0.161 1.7e+09 1.8e+10
0      2.945  1.000 4.1e+10 0
1.798  1.197  0.441 1.2e+10 1.7e+10
2.967  1.317  0.572 6.6e+10 8.2e+09
0      3.496  1.000 7.7e+10 0
0      4.496  1.000 1.6e+11 0
2.744  0.703  0.237 7.7e+09 1.8e+10
4.235  0.575  0.029 6.7e+09 1.3e+10
5.288  0.665  0.068 5.9e+09 2.3e+10
3.016  0.985  0.543 1.9e+10 3.8e+10
6.607  2.311  0.434 4.9e+10 5.9e+10
3.293  1.105  0.183 1.5e+09 4.0e+09
0      3.640  1.000 1.1e+11 0
2.145  0.802  0.382 6.8e+09 4.1e+09
3.401  1.057  0.461 2.9e+10 2.9e+10
4.678  0.730  0.108 1.0e+10 2.4e+10
2.243  0.707  0.128 5.0e+09 3.6e+10
2.105  0.792  0.557 1.4e+10 1.3e+10
2.502  0.541  0.050 2.3e+08 1.0e+10
2.172  1.268  0.481 1.3e+10 2.9e+10
2.789  0.952  0.413 6.4e+10 2.0e+10
2.955  0.793  0.227 5.6e+09 1.9e+10
1.731  0.718  0.371 7.4e+09 1.3e+10
4.014  1.019  0.270 1.6e+10 2.3e+10
0      2.301  1.000 4.4e+10 0
3.683  0.423  0.039 3.9e+08 1.2e+10
1.542  0.782  0.181 5.0e+09 7.6e+09
4.175  1.288  0.572 2.0e+10 4.3e+10
2.501  1.036  0.346 8.1e+09 1.0e+10
3.289  1.082  0.335 1.6e+10 4.6e+10
1.276  0.953  0.791 8.1e+09 9.1e+09
1.705  0.984  0.493 8.9e+09 1.8e+10
0      2.679  1.000 4.3e+10 0
0      1.545  1.000 2.1e+10 0
2.836  0.840  0.148 4.3e+09 1.0e+10
2.601  0.524  0.048 5.4e+08 6.3e+09
0      2.486  1.000 1.7e+10 0
4.172  0.518  0.033 2.5e+09 2.9e+10
3.677  0.918  0.350 1.2e+10 1.5e+10
5.072  1.096  0.326 3.8e+10 1.5e+10
2.354  0.871  0.411 1.3e+10 2.3e+10
2.052  0.977  0.434 3.3e+10 1.8e+10
1.370  0.539  0.353 4.8e+09 4.7e+09
0      1.789  1.000 3.5e+10 0
5.205  0.980  0.072 8.5e+09 5.1e+10
1.871  0.674  0.443 7.4e+09 8.7e+09
3.623  1.766  0.321 1.1e+10 1.5e+10
6.040  0.639  0.050 4.3e+09 4.7e+10
2.799  0.786  0.096 3.6e+09 1.9e+10
0      3.155  1.000 2.0e+10 0
3.728  1.163  0.280 1.8e+10 2.9e+10
1.904  0.863  0.393 4.1e+09 1.9e+10
5.736  0.949  0.132 1.1e+10 6.7e+10
3.655  1.361  0.493 2.5e+10 8.0e+09
2.578  1.270  0.468 1.3e+10 2.0e+10
3.261  0.575  0.060 4.8e+09 1.9e+10
3.158  1.619  0.508 4.9e+10 4.5e+10
2.689  0.949  0.312 1.1e+10 1.9e+10
2.918  1.148  0.613 4.0e+10 2.1e+10
2.413  1.423  0.487 1.4e+10 2.6e+10
2.158  0.846  0.382 2.8e+10 1.7e+10
3.136  1.334  0.556 4.8e+10 2.8e+10
1.656  0.709  0.488 1.4e+10 7.5e+09
3.202  0.976  0.228 2.5e+10 5.1e+10
0      4.873  1.000 1.4e+11 0
0      2.754  1.000 7.0e+10 0
2.476  0.822  0.202 6.9e+09 1.1e+10
0      1.074  1.000 1.4e+10 0
3.431  1.216  0.554 8.9e+10 4.9e+10
1.998  0.606  0.182 3.5e+09 1.4e+10
0.943  0      0.000 0       1.3e+10
0      1.323  1.000 1.1e+10 0
2.366  0.431  0.020 1.3e+09 8.6e+09
2.066  1.180  0.422 7.4e+09 7.7e+09
0      1.605  1.000 2.5e+10 0
2.602  0.867  0.431 1.6e+10 1.9e+10
3.419  0.404  0.036 8.4e+08 2.1e+10
0      1.826  1.000 2.9e+10 0
4.578  1.073  0.257 3.1e+10 3.9e+10
3.675  0.675  0.052 2.8e+09 3.9e+10
1.824  0.804  0.160 2.6e+09 1.0e+10
3.232  1.211  0.329 2.4e+10 3.8e+10
2.376  0.640  0.359 5.4e+09 1.3e+10
3.843  0.910  0.146 7.8e+09 1.9e+10
0      2.165  1.000 3.3e+10 0
5.186  0.978  0.110 4.5e+09 2.1e+10
0      3.120  1.000 4.9e+10 0
1.361  0.403  0.151 9.1e+08 6.8e+09
1.617  0.655  0.297 3.9e+09 6.2e+09
2.453  0.926  0.358 9.2e+09 1.5e+10
3.987  0.681  0.091 1.3e+10 3.5e+10
1.416  1.249  0.804 1.9e+10 8.6e+09
1.221  0.816  0.505 5.9e+09 4.6e+09
1.887  0.843  0.473 1.3e+10 2.5e+10
3.063  1.545  0.525 2.8e+10 2.8e+10
3.055  0.567  0.053 9.4e+08 1.0e+10
